,ObservationDate,Country_Region,Active
421,2020-06-18,India,3637.0
422,2020-06-18,India,93.0
423,2020-06-18,India,2114.0
424,2020-06-18,India,1925.0
425,2020-06-18,India,62.0
426,2020-06-18,India,708.0
427,2020-06-18,India,45.0
428,2020-06-18,India,26669.0
429,2020-06-18,India,596.0
430,2020-06-18,India,6191.0
431,2020-06-18,India,4528.0
432,2020-06-18,India,205.0
433,2020-06-18,India,2340.0
434,2020-06-18,India,711.0
435,2020-06-18,India,2847.0
436,2020-06-18,India,1358.0
437,2020-06-18,India,591.0
438,2020-06-18,India,2308.0
439,2020-06-18,India,53915.0
440,2020-06-18,India,407.0
441,2020-06-18,India,13.0
442,2020-06-18,India,129.0
443,2020-06-18,India,90.0
444,2020-06-18,India,1357.0
445,2020-06-18,India,155.0
446,2020-06-18,India,962.0
447,2020-06-18,India,2792.0
448,2020-06-18,India,65.0
449,2020-06-18,India,23068.0
450,2020-06-18,India,2531.0
451,2020-06-18,India,515.0
452,2020-06-18,India,8927.0
453,2020-06-18,India,5477.0
454,2020-06-18,India,690.0
455,2020-06-18,India,5216.0
456,2020-06-19,India,10.0
457,2020-06-19,India,3948.0
458,2020-06-19,India,92.0
459,2020-06-19,India,1856.0
460,2020-06-19,India,2033.0
461,2020-06-19,India,60.0
462,2020-06-19,India,687.0
463,2020-06-19,India,48.0
464,2020-06-19,India,27512.0
465,2020-06-19,India,607.0
466,2020-06-19,India,6364.0
467,2020-06-19,India,4710.0
468,2020-06-19,India,223.0
469,2020-06-19,India,2411.0
470,2020-06-19,India,622.0
471,2020-06-19,India,2947.0
472,2020-06-19,India,1380.0
473,2020-06-19,India,648.0
474,2020-06-19,India,2339.0
475,2020-06-19,India,55665.0
476,2020-06-19,India,463.0
477,2020-06-19,India,10.0
478,2020-06-19,India,129.0
479,2020-06-19,India,73.0
480,2020-06-19,India,1369.0
481,2020-06-19,India,161.0
482,2020-06-19,India,1104.0
483,2020-06-19,India,2826.0
484,2020-06-19,India,65.0
485,2020-06-19,India,23512.0
486,2020-06-19,India,2975.0
487,2020-06-19,India,520.0
488,2020-06-19,India,9265.0
489,2020-06-19,India,5659.0
490,2020-06-19,India,718.0
491,2020-06-19,India,5258.0
492,2020-06-20,India,11.0
493,2020-06-20,India,4240.0
494,2020-06-20,India,121.0
495,2020-06-20,India,1856.0
496,2020-06-20,India,1952.0
497,2020-06-20,India,82.0
498,2020-06-20,India,636.0
499,2020-06-20,India,42.0
500,2020-06-20,India,23340.0
501,2020-06-20,India,625.0
502,2020-06-20,India,6348.0
503,2020-06-20,India,4946.0
504,2020-06-20,India,235.0
505,2020-06-20,India,2417.0
506,2020-06-20,India,619.0
507,2020-06-20,India,3174.0
508,2020-06-20,India,1450.0
509,2020-06-20,India,718.0
510,2020-06-20,India,2343.0
511,2020-06-20,India,58068.0
512,2020-06-20,India,545.0
513,2020-06-20,India,10.0
514,2020-06-20,India,131.0
515,2020-06-20,India,63.0
516,2020-06-20,India,1310.0
517,2020-06-20,India,161.0
518,2020-06-20,India,1176.0
519,2020-06-20,India,2925.0
520,2020-06-20,India,45.0
521,2020-06-20,India,24825.0
522,2020-06-20,India,3363.0
523,2020-06-20,India,505.0
524,2020-06-20,India,9127.0
525,2020-06-20,India,6092.0
526,2020-06-20,India,824.0
527,2020-06-20,India,5126.0
528,2020-06-21,India,11.0
529,2020-06-21,India,4562.0
530,2020-06-21,India,120.0
531,2020-06-21,India,2019.0
532,2020-06-21,India,1979.0
533,2020-06-21,India,84.0
534,2020-06-21,India,817.0
535,2020-06-21,India,62.0
536,2020-06-21,India,24558.0
537,2020-06-21,India,625.0
538,2020-06-21,India,6248.0
539,2020-06-21,India,4918.0
540,2020-06-21,India,240.0
541,2020-06-21,India,2492.0
542,2020-06-21,India,656.0
543,2020-06-21,India,3395.0
544,2020-06-21,India,1490.0
545,2020-06-21,India,702.0
