,ObservationDate,Country_Region,Deaths
651,24-06-2020,India,164
652,24-06-2020,India,22
653,24-06-2020,India,1
654,24-06-2020,India,534
655,24-06-2020,India,6739
656,24-06-2020,India,0
657,24-06-2020,India,1
658,24-06-2020,India,0
659,24-06-2020,India,0
660,24-06-2020,India,17
661,24-06-2020,India,9
662,24-06-2020,India,113
663,24-06-2020,India,375
664,24-06-2020,India,0
665,24-06-2020,India,866
666,24-06-2020,India,225
667,24-06-2020,India,1
668,24-06-2020,India,0
669,24-06-2020,India,596
670,24-06-2020,India,35
671,24-06-2020,India,591
672,25-06-2020,India,0
673,25-06-2020,India,136
674,25-06-2020,India,1
675,25-06-2020,India,9
676,25-06-2020,India,57
677,25-06-2020,India,6
678,25-06-2020,India,12
679,25-06-2020,India,0
680,25-06-2020,India,2429
681,25-06-2020,India,2
682,25-06-2020,India,1753
683,25-06-2020,India,198
684,25-06-2020,India,9
685,25-06-2020,India,90
686,25-06-2020,India,12
687,25-06-2020,India,170
688,25-06-2020,India,22
689,25-06-2020,India,1
690,25-06-2020,India,542
691,25-06-2020,India,6931
692,25-06-2020,India,0
693,25-06-2020,India,1
694,25-06-2020,India,0
695,25-06-2020,India,0
696,25-06-2020,India,17
697,25-06-2020,India,9
698,25-06-2020,India,120
699,25-06-2020,India,379
700,25-06-2020,India,0
701,25-06-2020,India,911
702,25-06-2020,India,230
703,25-06-2020,India,1
704,25-06-2020,India,0
705,25-06-2020,India,611
706,25-06-2020,India,36
707,25-06-2020,India,606
708,26-06-2020,India,0
709,26-06-2020,India,148
710,26-06-2020,India,1
711,26-06-2020,India,9
712,26-06-2020,India,58
713,26-06-2020,India,6
714,26-06-2020,India,13
715,26-06-2020,India,0
716,26-06-2020,India,2492
717,26-06-2020,India,2
718,26-06-2020,India,1771
719,26-06-2020,India,211
720,26-06-2020,India,9
721,26-06-2020,India,91
722,26-06-2020,India,12
723,26-06-2020,India,180
724,26-06-2020,India,22
725,26-06-2020,India,1
726,26-06-2020,India,546
727,26-06-2020,India,7106
728,26-06-2020,India,0
729,26-06-2020,India,1
730,26-06-2020,India,0
731,26-06-2020,India,0
732,26-06-2020,India,17
733,26-06-2020,India,9
734,26-06-2020,India,122
735,26-06-2020,India,380
736,26-06-2020,India,0
737,26-06-2020,India,957
738,26-06-2020,India,237
739,26-06-2020,India,1
740,26-06-2020,India,0
741,26-06-2020,India,630
742,26-06-2020,India,37
743,26-06-2020,India,616
744,27-06-2020,India,0
745,27-06-2020,India,157
746,27-06-2020,India,1
747,27-06-2020,India,9
748,27-06-2020,India,59
749,27-06-2020,India,6
750,27-06-2020,India,13
751,27-06-2020,India,0
752,27-06-2020,India,2558
753,27-06-2020,India,2
754,27-06-2020,India,1789
755,27-06-2020,India,218
756,27-06-2020,India,9
757,27-06-2020,India,93
758,27-06-2020,India,12
759,27-06-2020,India,191
760,27-06-2020,India,22
761,27-06-2020,India,1
762,27-06-2020,India,550
763,27-06-2020,India,7273
764,27-06-2020,India,0
765,27-06-2020,India,1
766,27-06-2020,India,0
767,27-06-2020,India,0
768,27-06-2020,India,18
769,27-06-2020,India,10
770,27-06-2020,India,128
771,27-06-2020,India,391
772,27-06-2020,India,0
773,27-06-2020,India,1025
774,27-06-2020,India,243
775,27-06-2020,India,1
776,27-06-2020,India,0
777,27-06-2020,India,649
778,27-06-2020,India,37
779,27-06-2020,India,629
780,28-06-2020,India,0
781,28-06-2020,India,169
782,28-06-2020,India,1
783,28-06-2020,India,10
784,28-06-2020,India,60
785,28-06-2020,India,6
786,28-06-2020,India,13
787,28-06-2020,India,0
788,28-06-2020,India,2623
789,28-06-2020,India,3
790,28-06-2020,India,1808
791,28-06-2020,India,223
792,28-06-2020,India,9
793,28-06-2020,India,94
794,28-06-2020,India,12
795,28-06-2020,India,207
796,28-06-2020,India,22
797,28-06-2020,India,1
798,28-06-2020,India,557
799,28-06-2020,India,7429
800,28-06-2020,India,0
801,28-06-2020,India,1
802,28-06-2020,India,0
803,28-06-2020,India,0
804,28-06-2020,India,21
805,28-06-2020,India,10
806,28-06-2020,India,133
807,28-06-2020,India,399
808,28-06-2020,India,0
809,28-06-2020,India,1079
810,28-06-2020,India,247
811,28-06-2020,India,1
812,28-06-2020,India,0
813,28-06-2020,India,660
814,28-06-2020,India,38
815,28-06-2020,India,639
816,29-06-2020,India,0
817,29-06-2020,India,180
818,29-06-2020,India,1
819,29-06-2020,India,11
820,29-06-2020,India,62
821,29-06-2020,India,6
822,29-06-2020,India,13
823,29-06-2020,India,0
824,29-06-2020,India,2680
825,29-06-2020,India,3
826,29-06-2020,India,1827
827,29-06-2020,India,232
828,29-06-2020,India,9
829,29-06-2020,India,95
830,29-06-2020,India,15
831,29-06-2020,India,226
832,29-06-2020,India,22
833,29-06-2020,India,1
834,29-06-2020,India,564
835,29-06-2020,India,7610
836,29-06-2020,India,0
837,29-06-2020,India,1
838,29-06-2020,India,0
839,29-06-2020,India,0
840,29-06-2020,India,23
841,29-06-2020,India,10
842,29-06-2020,India,138
843,29-06-2020,India,405
844,29-06-2020,India,0
845,29-06-2020,India,1141
846,29-06-2020,India,253
847,29-06-2020,India,1
848,29-06-2020,India,0
849,29-06-2020,India,672
850,29-06-2020,India,39
851,29-06-2020,India,653
852,30-06-2020,India,0
853,30-06-2020,India,187
854,30-06-2020,India,1
855,30-06-2020,India,12
856,30-06-2020,India,67
857,30-06-2020,India,6
858,30-06-2020,India,13
859,30-06-2020,India,0
860,30-06-2020,India,2742
861,30-06-2020,India,3
862,30-06-2020,India,1846
863,30-06-2020,India,236
864,30-06-2020,India,10
865,30-06-2020,India,101
866,30-06-2020,India,15
867,30-06-2020,India,246
868,30-06-2020,India,24
869,30-06-2020,India,1
870,30-06-2020,India,572
871,30-06-2020,India,7855
872,30-06-2020,India,0
873,30-06-2020,India,1
874,30-06-2020,India,0
875,30-06-2020,India,0
876,30-06-2020,India,25
877,30-06-2020,India,12
878,30-06-2020,India,144
879,30-06-2020,India,413
880,30-06-2020,India,0
881,30-06-2020,India,1201
882,30-06-2020,India,260
883,30-06-2020,India,1
884,30-06-2020,India,0
885,30-06-2020,India,697
886,30-06-2020,India,41
887,30-06-2020,India,668
888,01-07-2020,India,0
889,01-07-2020,India,193
890,01-07-2020,India,1
891,01-07-2020,India,12
892,01-07-2020,India,70
893,01-07-2020,India,6
894,01-07-2020,India,14
895,01-07-2020,India,0
896,01-07-2020,India,2803
897,01-07-2020,India,4
898,01-07-2020,India,1867
899,01-07-2020,India,240
900,01-07-2020,India,10
901,01-07-2020,India,105
902,01-07-2020,India,15
903,01-07-2020,India,253
904,01-07-2020,India,24
905,01-07-2020,India,1
906,01-07-2020,India,581
907,01-07-2020,India,8053
908,01-07-2020,India,0
909,01-07-2020,India,1
910,01-07-2020,India,0
911,01-07-2020,India,0
912,01-07-2020,India,25
913,01-07-2020,India,12
914,01-07-2020,India,149
915,01-07-2020,India,421
916,01-07-2020,India,0
917,01-07-2020,India,1264
918,01-07-2020,India,267
919,01-07-2020,India,1
920,01-07-2020,India,0
921,01-07-2020,India,718
922,01-07-2020,India,41
923,01-07-2020,India,683
924,02-07-2020,India,0
925,02-07-2020,India,198
926,02-07-2020,India,1
927,02-07-2020,India,12
928,02-07-2020,India,77
929,02-07-2020,India,6
930,02-07-2020,India,14
931,02-07-2020,India,0
